depth	min	max	median	mean
270	1946	2609	2347	2334
280	2120	2733	2479	2474
290	2345	2835	2609	2603
300	2470	2948	2730	2728
311	2613	3070	2851	2850
322	2758	3178	2972	2969
332	2872	3287	3079	3077
342	2971	3387	3183	3185
356	3135	3548	3340	3337
368	3257	3676	3460	3458
381	3390	3795	3587	3590
392	3510	3893	3702	3704
402	3613	4001	3808	3805
412	3712	4096	3905	3906
422	3818	4214	4008	4009
432	3914	4302	4107	4107
442	4023	4388	4205	4204
452	4121	4493	4300	4303
462	4212	4593	4403	4403
472	4309	4695	4505	4505
483	4438	4812	4616	4618
492	4522	4922	4711	4711
504	4636	5025	4835	4833
515	4751	5156	4948	4950
525	4856	5258	5059	5060
535	4974	5391	5172	5176
545	5098	5519	5307	5302
552	5182	5618	5393	5396
565	5351	5804	5578	5578
577	5534	5978	5761	5759
587	5692	6138	5907	5908
598	5857	6294	6079	6074
607	5994	6418	6202	6205
617	6142	6558	6357	6355
627	6293	6717	6503	6502
637	6435	6864	6647	6648
648	6601	7017	6811	6811
657	6743	7126	6933	6936
667	6874	7275	7078	7077
677	7015	7435	7216	7217
687	7157	7577	7359	7359
698	7306	7725	7505	7509
710	7469	7892	7668	7672
720	7598	8004	7809	7807
730	7726	8154	7943	7943
740	7852	8308	8078	8082
750	7982	8465	8225	8223
760	8096	8646	8367	8363
