labID,age,error,depth
320161,-50.6,1,0
320162,-29.6,74.4,4
320163,-8.7,94.5,8
320164,12.3,103.75,12
320165,33.2,112.05,16
320166,54.2,115.4,20
320167,75.1,118.65,24
320168,96.1,119.95,28
320169,117,120.75,32
320170,138,121,36
320171,159,120.25,40
320172,179.9,118.95,44
320173,200.9,115.45,48
320174,221.8,111.2,52
320175,242.8,105.9,56
320176,263.7,96.3,60
320177,284.7,74.75,64
320178,306.5,9.34999999999999,68
320179,356.3,101.9,72
320180,406.2,119.35,76
320181,456.1,126.85,80
320182,505.9,128.9,84
320183,555.8,128.8,88
320184,605.7,122.6,92
320185,655.5,110.65,96
320186,705.4,67.05,100
320187,744,111.55,104
320188,776.9,141.55,108
320189,809.7,152.85,112
320190,842.6,158.7,116
320191,875.5,162.95,120
320192,908.3,166.35,124
320193,941.2,167.65,128
320194,974,168,132
320195,1006.9,166.35,136
320196,1039.8,166,140
320197,1072.6,162.6,144
320198,1105.5,159.1,148
320199,1130.1,155.35,151
320200,1154.8,144.6,154
320201,1195.9,50.0500000000001,159
320202,1257.4,294.3,164
320203,1294.3,342.55,167
320204,1355.7,395.45,172
320205,1404.9,418.05,176
320206,1454,443.55,180
320207,1503.2,463.55,184
320208,1552.4,478.25,188
320209,1601.5,488,192
320210,1650.7,497.95,196
320211,1675.3,502.8,198
320212,1724.4,508.45,202
320213,1773.6,517,206
320214,1822.8,522,210
320215,1871.9,525.7,214
320216,1921.1,529.2,218
320217,1970.3,529.3,222
320218,2007.1,529,225
320219,2068.6,528,230
320220,2117.8,527.5,234
320221,2166.9,522.4,238
320222,2216.1,517,242
320223,2265.2,512.05,246
320224,2314.4,501.45,250
320225,2363.6,491.55,254
320226,2412.7,481.35,258
320227,2461.9,461.3,262
320228,2511.1,443.85,266
320229,2560.2,415.45,270
320230,2609.4,373.4,274
320231,2658.6,299.35,278
320232,2707.7,159.85,282
320233,2753.2,244.8,286
320234,2796.8,318.8,290
320235,2840.3,345.05,294
320236,2883.9,360.15,298
320237,2927.5,365.5,302
320238,2971,371.25,306
320239,3014.6,374.9,310
320240,3058.2,374.9,314
320241,3101.7,377.7,318
320242,3145.3,380.6,322
320243,3188.9,381.65,326
320244,3232.4,382.5,330
320245,3276,382.45,334
320246,3319.6,379.65,338
320247,3363.1,374.2,342
320248,3406.7,370.45,346
320249,3450.3,364.75,350
320250,3493.8,357.2,354
320251,3537.4,350.35,358
320252,3581,336.65,362
320253,3624.5,316.65,366
320254,3668.1,287.95,370
320255,3711.7,250.7,374
320256,3755.2,177.55,378
320257,3893.8,396.1,390
320258,4128.3,506.3,410
320259,4362.8,538.35,430
320260,4597.3,544.3,450
320261,4714.5,539.15,460
320262,4831.8,527,470
320263,4949,506.6,480
320264,5066.2,469.1,490
320265,5183.5,398,500
320266,5242.1,334.9,505
320267,5300.7,116.25,510
320268,5404.7,265.95,520
320269,5508.4,317.65,530
320270,5715.7,349.85,550
320271,5819.4,350.7,560
320272,5871.2,350.05,565
320273,5923,347.1,570
320274,5974.9,343.2,575
320275,6026.7,337.55,580
320276,6130.4,310.75,590
320277,6347.8,213.05,610
320278,6653.5,406.2,630
320279,6959.3,429.8,650
320280,7112.1,420.5,660
320281,7188.6,411.55,665
320282,7265,399.8,670
320283,7341.4,377.85,675
320284,7417.9,340,680
320285,7569.4,69.9000000000001,690
320286,7736.5,460.15,710
320287,7902.4,566.5,730
320288,8064.5,634.35,750
320289,8219.1,674.3,770
320290,8372.6,701.1,790
320291,8533.2,711.5,810
320292,8693.8,707.65,830
320293,8774.1,703.95,840
320294,8854.5,690.9,850
320295,8934.8,672.6,860
320296,9015.1,654,870
320297,9175.7,600.1,890
320298,9336.3,505.15,910
320299,9497,314.450000000001,930
320300,9835.1,890.4,950
320301,10023.3,1073.9,960
320302,10205.6,1214.9,970
320303,10386.7,1321.5,980
320304,10563.2,1399.45,990
320305,10737.2,1461.6,1000
320306,10898.4,1511.7,1010
320307,11066.5,1557.9,1020
320308,11228.3,1581,1030
320309,11394.1,1603.85,1040
320310,11571.6,1623.65,1050
320311,11926.6,1631.45,1070
320312,12281.6,1593.2,1090
320313,12633.8,1535.2,1110
320314,12969.4,1430.95,1130
320315,13313.1,1279.5,1150
320316,13675.5,1062.95,1170
320317,14053.8,465.6,1190
320318,14269.4,568.85,1210
320319,14450,755.4,1230
320320,14614.4,933.2,1250
