"labID","age","error","depth"
"320332",-57.125,11.045735,1
"320333",-42.415,48.047935,6
"320334",-24.764,68.42834,12
"320335",-7.112,77.44075,18
"320336",10.539,85.116235,24
"320337",28.19,89.971635,30
"320338",45.842,93.4013,36
"320339",63.493,95.282575,42
"320340",81.145,96.0182875,48
"320341",98.796,95.9668,54
"320342",116.448,95.28675,60
"320343",134.099,94.546275,66
"320344",151.75,92.243575,72
"320345",169.402,90.01936,78
"320346",187.053,84.55309,84
"320347",204.705,78.120775,90
"320348",222.356,68.22965,96
"320349",240.008,48.4527,102
"320350",257.659,7.09915000000001,108
"320351",361.936,239.51505,114
"320352",473.552,350.24535,120
"320353",585.169,414.70445,126
"320354",696.786,458.0734,132
"320355",808.403,475.896,138
"320356",920.02,486.72665,144
"320357",1031.636,491.11605,150
"320358",1143.253,493.8386,156
"320359",1254.87,491.56975,162
"320360",1366.487,483.71405,168
"320361",1478.104,467.15815,174
"320362",1589.72,438.063,180
"320363",1701.337,393.127,186
"320364",1812.954,313.315,192
"320365",2001.818,135.8965,203
"320366",2173.447,311.3805,216
"320367",2331.873,355.4745,228
"320368",2490.3,374.568,240
"320369",2648.727,379.577,252
"320370",2807.153,369.988,264
"320371",2965.58,347.5215,276
"320372",3124.007,280.136,288
"320373",3282.433,61.9814999999999,300
"320374",3385.67,343.5585,312
"320375",3488.538,422.769,324
"320376",3591.405,478.524,336
"320377",3694.272,509.6115,348
"320378",3797.14,533.6095,360
"320379",3900.007,546.278,372
"320380",4002.874,553.599,384
"320381",4114.314,559.152,397
"320382",4208.609,560.197,408
"320383",4311.476,556.307,420
"320384",4414.343,547.9625,432
"320385",4517.211,543.5465,444
"320386",4620.078,523.9875,456
"320387",4722.945,495.776,468
"320388",4825.813,446.762,480
"320389",4928.68,325.711,492
"320390",5147.902,86.145,504
"320391",5496.477,118.684,516
"320392",5613.337,152.9485,522
"320393",5730.197,159.218,528
"320394",5847.057,159.4585,534
"320395",5963.917,153.47,540
"320396",6080.777,119.593,546
"320397",6253.317,227.176,552
"320398",6513.572,531.872,558
"320399",6773.827,659.5995,564
"320400",7034.082,702.0875,570
"320401",7294.338,720.6875,576
"320402",7554.593,728.5035,582
"320403",7814.848,718.576,588
"320404",8075.103,675.7815,594
"320405",8335.358,597.312,600
"320406",8814.66,115.978999999999,612
"320407",9027.757,120.429999999999,624
"320408",9240.855,103.233999999999,636
"320409",9462.62,115.533,648
"320410",9925.723,157.916,672
