"","variablename","collunitid","age","agetype","ageolder","ageyounger","chronologyid","chronologyname","units","value","context","element","taxonid","symmetry","taxongroup","elementtype","ecologicalgroup","analysisunitid","sampleanalyst","sampleid","depth","thickness","samplename","datasetid","database","datasettype","age_range_old","age_range_young","datasetnotes","siteid","sitename","lat","long","area","sitenotes","description","elev","handle","colldate","location","waterdepth","collunittype","collectiondevice","defaultchronology","collectionunitname","depositionalenvironment","family","genus","species","REGION"
"1803689","Amaranthaceae","999",280,"Radiocarbon years BP",NA,NA,512,"NAPD 1","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",16085,"Comtois, Paul G.","22324",20,1,NA,"1033","North American Pollen Database","pollen",6324,280,NA,"1000","Tourbière de Lanoraie HENRI",45.98889,-73.3,NA,"St. Henri area.","Ombrotrophic bog, ericaceous cover. Physiography: dissected deltaic plain. Surrounding vegetation: Caryo - Aceretum sacchari.",18,"HEN",1978-01-01,"southwest end of the area",0,NA,"Hiller corer (2.5cm)",512,NA,"Bog","Amaranthaceae",NA,NA,"North America"
"1770077","Amaranthaceae","11297",132,"Calibrated radiocarbon years BP",476,-38,26772,"SKOPE","NISP",14,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",103525,"Weng, Chengyu","134540",202,0.5,NA,"14951","North American Pollen Database","pollen",13588,-38,NA,"10000","Bear Lake",36.37108,-112.147228,NA,NA,"Bear Lake occurs in a limestone sinkhole and is located near the highest portion of the Kaibab Plateau. A sedge floating mat covers about two thirds of the water surface. Aquatic plants in the open water area are Glyceria borealis, Eleocharis, Sparganium, and Potamogeton. Surrounding vegetation: Forest dominated by Picea engelmannii and Abies lasiocarpa. Scattered Abies concolor and Pinus ponderosa also occur. Several Populus tremuloides trees grow on the west shore of the pond.",2778,"BEARAZ",1995-07-01,"Center of the lake",1.97,NA,"Modified Livingstone corer (10cm)",26772,NA,"Solution Origin Lake","Amaranthaceae",NA,NA,"North America"
"6491280","Liquidambar","11298",-35,"Calibrated radiocarbon years BP",-22,-43,7942,"Neotoma 1","NISP",4,NA,"pollen",162,NA,"Vascular plants","pollen","TRSH",103575,"Fearn, Miriam L.","134586",1,NA,NA,"14953","North American Pollen Database","pollen",3541,-43,NA,"10002","Lake Arthur",30.044968,-92.719662,NA,NA,"Drowned river segment located close enough to the Gulf of Mexico to be influenced by salt water, thus properly defined as an estuary. Surrounding vegetation: Primarily cypress trees and rice fields. Forest composed of red maple, green ash, elm, sycamore, sugarberry, water oak, willow oak, sweetgum, willow, cypress, and tupelo.",1,"ARTHURE",1991-06-01,"Center of the lake",2.7,NA,NA,7942,NA,"Estuarine","Altingiaceae","Liquidambar",NA,"North America"
"551414","Artemisia","11300",5430,"Calibrated radiocarbon years BP",5991,4825,7944,"Neotoma 1","NISP",1,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",103654,"Gill, Jacquelyn L.","134677",410.5,1.5,NA,"14957","North American Pollen Database","pollen",20635,7594,NA,"10003","Appleman Lake",41.62264,-85.212974,NA,NA,"Appleman Lake is a kettle pond situated on glacial till and outwash from the Lake Michigan Lobe.",294,"APPLEMAN",2005-01-10,NA,NA,NA,"Modified Livingstone piston corer (diameter = 2 inches)",29934,NA,"Kettle Lake","Asteraceae","Artemisia",NA,"North America"
"1814060","Amaranthaceae","11315",-44,"Calibrated radiocarbon years BP",-32,-50,7973,"Neotoma1","NISP",33,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",104066,"Grenier, A.","135094",0.5,1,NA,"14991","North American Pollen Database","pollen",1591,-51,NA,"10017","Lake Louise",49.030694,-97.230372,NA,NA,"Lake in palaeochannel of the Red River. Physiography: Red River valley floodplain. Surrounding vegetation: Quercus, Pinus, Picea, cultivated fields.",240,"LOUISEMB",1999-06-01,"Deepest part of the lake",2.4,NA,"Livingstone and gravity corers",7973,NA,"Nonspecific Floodplain Lake","Amaranthaceae",NA,NA,"North America"
"438335","Artemisia","11317",253,"Calibrated radiocarbon years BP",462,63,7975,"Neotoma1","NISP",1,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",104109,"Eisner, Wendy R.","135150",10,NA,NA,"14995","North American Pollen Database","pollen",11216,63,NA,"10019","Meade River bluff",70.459354,-157.35855,NA,NA,"Tundra ice-wedge polygon on the Meade River bluffs. Sandy surface sediments are Pleistocene/Holocene eolian dunes. Surrounding vegetation: Carex, Sphagnum, Salix, Dryas, Polygonum. Sedge tundra.",2,"MEADERVR",1995-06-01,NA,NA,NA,NA,7975,NA,"Stream-cut Exposure","Asteraceae","Artemisia",NA,"North America"
"6488934","Liquidambar","11318",-45,"Calibrated radiocarbon years BP",-43,-49,7976,"Neotoma","NISP",1,NA,"pollen",162,NA,"Vascular plants","pollen","TRSH",104126,"Hansen, Barbara C. S.","135175",1,2,NA,"14997","North American Pollen Database","pollen",3946,-49,NA,"10020","Round Pond",41.970564,-70.01054,NA,NA,"Surrounding vegetation: Pitch pine-oak forest. The dominant trees include Pinus rigida and Quercus spp, while Pinus strobus, Acer rubrum, Carya, and Fagus grandifolia may be abundant locally. Common to many stands is a dense ericaceous shrub understory comprised primarily of Gaylussacia baccata and Vaccinium.",4,"ROUND",2000-09-20,"Center of lake",7.47,NA,"Modified Livingstone corer (7cm)",7976,NA,"Kettle Lake","Altingiaceae","Liquidambar",NA,"North America"
"1789565","Amaranthaceae","11319",-50,"Calibrated radiocarbon years BP",-45,-56,7977,"Neotoma","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",104183,"Faison, Edward K.","135235",0,2,NA,"14999","North American Pollen Database","pollen",8014,-56,NA,"10021","Deep Pond",41.738992,-69.992344,NA,NA,"Surrounding vegetation: Pitch pine-oak forest. The dominant trees include Pinus rigida and Quercus spp, while Pinus strobus, Acer rubrum, Carya, and Fagus grandifolia may be abundant locally. Common to many stands is a dense ericaceous shrub understory comprised primarily of Gaylussacia baccata and Vaccinium.",23,"DEEPPOND",1999-03-31,"Center of lake",3.3,NA,"Modified Livingstone piston corer (7cm)",7977,NA,"Kettle Lake","Amaranthaceae",NA,NA,"North America"
"1742411","Amaranthaceae","11321",-48,"Calibrated radiocarbon years BP",-43,-51,7979,"Neotoma 1","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",104268,"Parshall, Timothy E.","135318",0,2,NA,"15003","North American Pollen Database","pollen",2093,-51,NA,"10023","Icehouse Pond",41.797792,-69.96076,NA,NA,"Surrounding vegetation: Pitch pine-oak forest. The dominant trees include Pinus rigida and Quercus spp, while Pinus strobus, Acer rubrum, Carya, and Fagus grandifolia may be abundant locally. Common to many stands is a dense ericaceous shrub understory comprised primarily of Gaylussacia baccata and Vaccinium.",19,"ICEHSMA",2000-03-08,"Center of lake",6.25,NA,"Modified Livingston corer (7cm)",7979,NA,"Kettle Lake","Amaranthaceae",NA,NA,"North America"
"367605","Cichorioideae","11323",-50,"Calibrated radiocarbon years BP",-49,-52,7981,"Neotoma 1","NISP",1,NA,"pollen",160,NA,"Vascular plants","pollen","UPHE",104340,"Faison, Edward K.","135399",0,2,NA,"15007","North American Pollen Database","pollen",4127,-52,NA,"10025","Eagle Pond",41.697954,-70.136266,NA,NA,"Surrounding vegetation: Pitch pine-oak forest. The dominant trees include Pinus rigida and Quercus spp, while Pinus strobus, Acer rubrum, Carya, and Fagus grandifolia may be abundant locally. Common to many stands is a dense ericaceous shrub understory comprised primarily of Gaylussacia baccata and Vaccinium.",11,"EAGLEPND",2000-07-06,"Center of lake",6.43,NA,"Modified Livingstone piston corer (7cm)",7981,NA,"Kettle Lake","Asteraceae",NA,NA,"North America"
